index	prefix	engaligns	greekaligns
31	[she] 	['2:5.5:began', '2:5.5:narrating']	['2:5.5:λέγε']
32		['2:5.5:many']	["2:5.5:πόλλ'"]
33		['2:5.5:troubles']	['2:5.5:κήδεα']
34		['2:5.5:of', '2:5.5:Odysseus']	['2:5.5:Ὀδυσῆος']
35		['2:5.6:bringing', '2:5.6:these', '2:5.6:things', '2:5.6:to', '2:5.6:mind']	['2:5.6:μνησαμένη']
36		['2:5.6:-', '2:5.6:for']	['2:5.6:γάρ']
37	[he] 	['2:5.6:was', '2:5.6:a', '2:5.6:concern']	['2:5.6:μέλε']
38		['2:5.6:to[2]', '2:5.6:her']	['2:5.6:οἱ']
39		['2:5.6:because', '2:5.6:he[2]', '2:5.6:was[2]']	['2:5.6:ἐὼν']
40		['2:5.6:in']	['2:5.6:ἐν']
41		['2:5.6:house']	['2:5.6:δώμασι']
42		['2:5.6:woman']	['2:5.6:νύμφης']
43		['2:5.7:Father']	['2:5.7:πάτερ']
44		['2:5.7:Zeus']	['2:5.7:Ζεῦ']
45		['2:5.7:and']	["2:5.7:ἠδ'"]
46		['2:5.7:other']	['2:5.7:ἄλλοι']
47		['2:5.7:blessed']	['2:5.7:μάκαρες']
48		['2:5.7:gods']	['2:5.7:θεοὶ']
49		['2:5.7:who', '2:5.7:exist']	['2:5.7:ἐόντες']
50		['2:5.7:forever']	['2:5.7:αἰὲν']
51	[he] 	['2:5.8:let', '2:5.8:be']	['2:5.8:ἔστω']
52		['2:5.8:not']	['2:5.8:μή']
53		['2:5.8:anyone']	['2:5.8:τις']
54		['2:5.8:still']	['2:5.8:ἔτι']
55		['2:5.8:mild']	['2:5.8:ἀγανὸς']
56		['2:5.8:and']	['2:5.8:καὶ']
57		['2:5.8:kind']	['2:5.8:ἤπιος']
58		['2:5.8:with', '2:5.8:an', '2:5.8:eager', '2:5.8:mind']	['2:5.8:πρόφρων']
59		['2:5.9:staff-holding']	['2:5.9:σκηπτοῦχος']
60		['2:5.9:king']	['2:5.9:βασιλεύς']
61		['2:5.9:and']	['2:5.9:δὲ']
62		['2:5.9:not']	['2:5.9:μη']
63		['2:5.9:knowing']	['2:5.9:εἰδώς']
64		['2:5.9:righteous', '2:5.9:things']	['2:5.9:αἴσιμα']
65		['2:5.9:in', '2:5.9:heart']	['2:5.9:φρεσὶν']
66		['2:5.10:but']	["2:5.10:ἀλλ'"]
67	[he] 	['2:5.10:may', '2:5.10:be']	['2:5.10:εἴη']
68		['2:5.10:always']	['2:5.10:αἰεὶ']
69		['2:5.10:harsh']	['2:5.10:χαλεπός']
70		['2:5.10:and']	["2:5.10:τ'"]
71		['2:5.10:also']	['2:5.10:καὶ']
72	[he] 	['2:5.10:may[2]', '2:5.10:perform']	['2:5.10:ῥέζοι']
73		['2:5.10:evil', '2:5.10:things']	['2:5.10:αἴσυλα']
74		['2:5.11:because']	['2:5.11:ὡς']
75		['2:5.11:not']	['2:5.11:οὔ']
76		['2:5.11:one']	['2:5.11:τις']
77	[s/he] 	['2:5.11:has', '2:5.11:until', '2:5.11:now', '2:5.11:thought', '2:5.11:of']	['2:5.11:μέμνηται']
78		['2:5.11:god-like']	['2:5.11:θείοιο']
79		['2:5.11:Odysseus']	['2:5.11:Ὀδυσσῆος']
80		['2:5.12:people']	['2:5.12:λαῶν']
81		['2:5.12:for', '2:5.12:whom']	['2:5.12:οἷσιν']
82	[he] 	['2:5.12:was', '2:5.12:lord']	['2:5.12:ἄνασσε']
83	[he] 	['2:5.12:was[2]']	['2:5.12:ἦεν']
84		['2:5.12:kind']	['2:5.12:ἤπιος']
85		['2:5.12:like']	['2:5.12:ὣς']
86		['2:5.12:father']	['2:5.12:πατὴρ']
87		['2:5.13:But']	["2:5.13:ἀλλ'"]
88		['2:5.13:yet']	['2:5.13:μὲν']
89		['2:5.13:that', '2:5.13:man']	['2:5.13:ὁ']
90	[he] 	['2:5.13:lies']	['2:5.13:κεῖται']
91		['2:5.13:on']	['2:5.13:ἐν']
92		['2:5.13:island']	['2:5.13:νήσῳ']
93		['2:5.13:suffering']	['2:5.13:πάσχων']
94		['2:5.13:powerful']	["2:5.13:κρατέρ'"]
95		['2:5.13:sorrows']	['2:5.13:ἄλγεα']
96		['2:5.14:in']	['2:5.14:ἐν']
97		['2:5.14:great', '2:5.14:rooms']	['2:5.14:μεγάροισι']
98		['2:5.14:of', '2:5.14:nymph']	['2:5.14:νύμφης']
99		['2:5.14:Calypso']	['2:5.14:Καλυψοῦς']
100		['2:5.14:she', '2:5.14:who']	['2:5.14:ἥ']
101		['2:5.14:by', '2:5.14:force']	['2:5.14:ἀνάγκῃ']
102		['2:5.15:holds', '2:5.15:back']	['2:5.15:ἴσχει']
103		['2:5.15:him']	['2:5.14:μιν']
104		['2:5.15:and', '2:5.15:still']	["2:5.15:δ'"]
105		['2:5.15:he']	['2:5.15:ὁ']
106	[he] 	['2:5.15:is', '2:5.15:able']	['2:5.15:δύναται']
107		['2:5.15:not']	['2:5.15:οὐ']
108		['2:5.15:to', '2:5.15:return']	['2:5.15:ἱκέσθαι']
109		['2:5.15:to[2]', '2:5.15:his', '2:5.15:own']	['2:5.15:ἣν']
110		['2:5.15:ancestral']	['2:5.15:πατρίδα']
111		['2:5.15:land']	['2:5.15:γαῖαν']
112		['2:5.16:for']	['2:5.16:γάρ']
113		['2:5.16:no']	['2:5.16:οὐ']
114		['2:5.16:ships']	['2:5.16:νῆες']
115		['2:5.16:equipped', '2:5.16:with', '2:5.16:oars']	['2:5.16:ἐπήρετμοι']
116		['2:5.16:nor']	['2:5.16:καὶ']
117		['2:5.16:comrades']	['2:5.16:ἑταῖροι']
118		['2:5.16:with[2]']	['2:5.16:πάρα']
119		['2:5.16:him']	['2:5.16:οἱ']
120		['2:5.17:who']	['2:5.17:οἵ']
121		['2:5.17:might']	['2:5.17:κέν']
122	[they might] 	['2:5.17:escort', '2:5.17:home']	['2:5.17:πέμποιεν']
123		['2:5.17:him']	['2:5.17:μιν']
124		['2:5.17:over']	["2:5.17:ἐπ'"]
125		['2:5.17:wide']	['2:5.17:εὐρέα']
126		['2:5.17:surface']	['2:5.17:νῶτα']
127		['2:5.17:sea']	['2:5.17:θαλάσσης']
128		['2:5.18:Again']	['2:5.18:αὖ']
129		['2:5.18:now']	['2:5.18:νῦν']
130	[they] 	['2:5.18:have', '2:5.18:done', '2:5.18:everything', '2:5.18:in', '2:5.18:their', '2:5.18:power']	['2:5.18:μεμάασιν']
131		['2:5.18:to', '2:5.18:kill']	['2:5.18:ἀποκτεῖναι']
132		['2:5.18:beloved']	['2:5.18:ἀγαπητὸν']
133		['2:5.18:child']	["2:5.18:παῖδ'"]
134		['2:5.19:returns']	['2:5.19:νισόμενον']
135		['2:5.19:home']	['2:5.19:οἴκαδε']
136		['2:5.19:now']	["2:5.19:δ'"]
137		['2:5.19:that', '2:5.19:man']	['2:5.19:ὁ']
138	[he] 	['2:5.19:went']	['2:5.19:ἔβη']
139		['2:5.19:after']	['2:5.19:μετὰ']
140		['2:5.19:what', '2:5.19:people', '2:5.19:had', '2:5.19:heard']	['2:5.19:ἀκουὴν']
141		['2:5.19:of', '2:5.19:father']	['2:5.19:πατρὸς']
142		['2:5.20:to']	['2:5.20:ἐς']
143		['2:5.20:most', '2:5.20:holy']	['2:5.20:ἠγαθέην']
144		['2:5.20:Pylos']	['2:5.20:Πύλον']
145		['2:5.20:and']	["2:5.20:ἠδ'"]
146		['2:5.20:to[2]']	['2:5.20:ἐς[2]']
147		['2:5.20:heavenly']	['2:5.20:δῖαν']
148		['2:5.20:Lacedaemon']	['2:5.20:Λακεδαίμονα']
149		['2:5.21:And']	["2:5.21:δ'"]
150		['2:5.21:answering']	['2:5.21:ἀπαμειβόμενος']
151		['2:5.21:her']	['2:5.21:τὴν']
152		['2:5.21:Zeus']	['2:5.21:Ζεύς']
153		['2:5.21:cloud-summoner']	['2:5.21:νεφεληγερέτα']
154	[he] 	['2:5.21:spoke']	['2:5.21:προσέφη']
155		['2:5.22:My']	['2:5.22:ἐμόν']
156		['2:5.22:child']	['2:5.22:τέκνον']
157		['2:5.22:what', '2:5.22:a']	['2:5.22:ποῖόν']
158		['2:5.22:speech']	['2:5.22:ἔπος']
159		['2:5.22:of', '2:5.22:yours']	['2:5.22:σε']
160	[it] 	['2:5.22:escaped']	['2:5.22:φύγεν']
161		['2:5.22:from', '2:5.22:fence']	['2:5.22:ἕρκος']
162		['2:5.22:teeth']	['2:5.22:ὀδόντων']
163		['2:5.23:for']	['2:5.23:γὰρ']
164		['2:5.23:not']	['2:5.23:οὐ']
165		['2:5.23:in', '2:5.23:truth']	['2:5.23:δὴ']
166		['2:5.23:to', '2:5.23:begin', '2:5.23:with']	['2:5.23:μὲν']
167	[you (sg) did] 	['2:5.23:plan']	['2:5.23:ἐβούλευσας']
168		['2:5.23:this']	['2:5.23:τοῦτον']
169		['2:5.23:scheme']	['2:5.23:νόον']
170		['2:5.23:yourself']	['2:5.23:αὐτή']
171		['2:5.24:that']	['2:5.24:ὡς']
172		['2:5.24:surely']	['2:5.24:ἦ', '2:5.24:τοι']
173		['2:5.24:Odysseus']	['2:5.24:Ὀδυσεὺς']
174	[he] 	['2:5.24:will', '2:5.24:exact', '2:5.24:vengeance', '2:5.24:on']	['2:5.24:ἀποτίσεται']
175		['2:5.24:those', '2:5.24:people']	['2:5.24:κείνους']
176		['2:5.24:after', '2:5.24:arriving']	['2:5.24:ἐλθών']
177		['2:5.25:But']	['2:5.25:δὲ']
178		['2:5.25:you']	['2:5.25:σὺ']
179		['2:5.25:get', '2:5.25:home']	['2:5.25:πέμψον']
180		['2:5.25:Telemachus']	['2:5.25:Τηλέμαχον']
181		['2:5.25:clever', '2:5.25:way']	['2:5.25:ἐπισταμένως']
182		['2:5.25:for']	['2:5.25:γάρ']
183	[you (sg)] 	['2:5.25:are', '2:5.25:able']	['2:5.25:δύνασαι']
184		['2:5.26:so', '2:5.26:that']	['2:5.26:ὥς']
185		['2:5.26:quite']	["2:5.26:μάλ'"]
186		['2:5.26:unhurt']	['2:5.26:ἀσκηθὴς']
187		['2:5.26:may']	['2:5.26:κε']
188	[he may] 	['2:5.26:reach']	['2:5.26:ἵκηται']
189		['2:5.26:his', '2:5.26:own']	['2:5.26:ἣν']
190		['2:5.26:ancestral']	['2:5.26:πατρίδα']
191		['2:5.26:land']	['2:5.26:γαῖαν']
192		['2:5.27:and']	["2:5.27:δ'"]
193		['2:5.27:suitors']	['2:5.27:μνηστῆρες']
194	[they may] 	['2:5.27:may', '2:5.27:depart']	['2:5.27:ἀπονέωνται']
195		['2:5.27:back', '2:5.27:again']	['2:5.27:παλιμπετὲς']
196		['2:5.27:in']	['2:5.27:ἐν']
197		['2:5.27:ship']	['2:5.27:νηῒ']
198		['2:5.28:And']	['2:5.28:καὶ']
199		['2:5.28:then']	['2:5.28:ἦ', '2:5.28:ῥα']
200		['2:5.28:facing']	['2:5.28:ἀντίον']
201		['2:5.28:Hermes']	['2:5.28:Ἑρμείαν']
202		['2:5.28:beloved']	['2:5.28:φίλον']
203		['2:5.28:son']	['2:5.28:υἱὸν']
204	[he] 	['2:5.28:began', '2:5.28:speaking']	['2:5.28:ηὔδα']
205		['2:5.29:Hermes']	['2:5.29:Ἑρμεία']
206		['2:5.29:of', '2:5.29:course', '2:5.29:course']	['2:5.29:περ', '2:5.29:αὖτε']
207		['2:5.29:since']	['2:5.29:γὰρ']
208		['2:5.29:you', '2:5.29:for', '2:5.29:your', '2:5.29:part']	['2:5.29:σὺ']
209	[you (sg)] 	['2:5.29:are']	['2:5.29:ἐσσι']
210		['2:5.29:also']	["2:5.29:τ'"]
211		['2:5.29:messenger']	['2:5.29:ἄγγελός']
212		['2:5.29:other']	['2:5.29:ἄλλα']
213		['2:5.29:things']	['2:5.29:τά']
214		['2:5.30:say']	['2:5.30:εἰπεῖν']
215		['2:5.30:beautiful-haired']	['2:5.30:ἐυπλοκάμῳ']
216		['2:5.30:nymph']	['2:5.30:νύμφῃ']
217		['2:5.30:authoritative']	['2:5.30:νημερτέα']
218		['2:5.30:decision']	['2:5.30:βουλήν']
219		['2:5.31:home-coming']	['2:5.31:νόστον']
220		['2:5.31:of', '2:5.31:Odysseus']	['2:5.31:Ὀδυσσῆος']
221		['2:5.31:whose', '2:5.31:heart', '2:5.31:has', '2:5.31:endured', '2:5.31:much']	['2:5.31:ταλασίφρονος']
222		['2:5.31:so', '2:5.31:that']	['2:5.31:ὥς']
223		['2:5.31:may']	['2:5.31:κε']
224	[he may] 	['2:5.31:return', '2:5.31:home']	['2:5.31:νέηται']
225		['2:5.32:through', '2:5.32:guidance']	['2:5.32:πομπῇ']
226		['2:5.32:both']	['2:5.32:τε']
227		['2:5.32:not']	['2:5.32:οὔ']
228		['2:5.32:of', '2:5.32:gods']	['2:5.32:θεῶν']
229		['2:5.32:and']	['2:5.32:τε[2]']
230		['2:5.32:not[2]']	['2:5.32:οὔ[2]']
231		['2:5.32:of[2]', '2:5.32:mortal']	['2:5.32:θνητῶν']
232		['2:5.32:humans']	['2:5.32:ἀνθρώπων']
233		['2:5.33:instead']	["2:5.33:ἀλλ'"]
234		['2:5.33:that', '2:5.33:man']	['2:5.33:ὅ']
235		['2:5.33:after', '2:5.33:all']	["2:5.33:γ'"]
236		['2:5.33:suffering']	['2:5.33:πάσχων']
237		['2:5.33:hardships']	['2:5.33:πήματα']
238		['2:5.33:on']	['2:5.33:ἐπὶ']
239		['2:5.33:boat']	['2:5.33:σχεδίης']
240		['2:5.33:with', '2:5.33:many', '2:5.33:fastenings']	['2:5.33:πολυδέσμου']
241		['2:5.34:may']	["2:5.34:κ'"]
242	[he] 	['2:5.34:reach']	['2:5.34:ἵκοιτο']
243		['2:5.34:fertile']	['2:5.34:ἐρίβωλον']
244		['2:5.34:Scheria']	['2:5.34:Σχερίην']
245		['2:5.34:on', '2:5.34:day']	['2:5.34:ἤματί']
246		['2:5.34:twentieth']	['2:5.34:εἰκοστῷ']
247		['2:5.35:to']	['2:5.35:ἐς']
248		['2:5.35:land']	['2:5.35:γαῖαν']
249	[of the] 	['2:5.35:Phaeacians']	['2:5.35:Φαιήκων']
250		['2:5.35:who']	['2:5.35:οἳ']
251	[they] 	['2:5.35:are', '2:5.35:born']	['2:5.35:γεγάασιν']
252		['2:5.35:closely-connected', '2:5.35:to[2]', '2:5.35:the[3]', '2:5.35:gods']	['2:5.35:ἀγχίθεοι']
253		['2:5.36:who']	['2:5.36:οἵ']
254		['2:5.36:would']	['2:5.36:κέν']
255	[they will] 	['2:5.36:show', '2:5.36:respect']	['2:5.36:τιμήσουσιν']
256		['2:5.36:him']	['2:5.36:μιν']
257		['2:5.36:to', '2:5.36:the', '2:5.36:highest', '2:5.36:degree']	['2:5.36:περὶ']
258		['2:5.36:in', '2:5.36:heart']	['2:5.36:κῆρι']
259		['2:5.36:as']	['2:5.36:ὣς']
260		['2:5.36:god']	['2:5.36:θεὸν']
261		['2:5.37:and']	["2:5.37:δ'"]
262	[they] 	['2:5.37:will', '2:5.37:send']	['2:5.37:πέμψουσιν']
263		['2:5.37:in']	['2:5.37:ἐν']
264		['2:5.37:ship']	['2:5.37:νηὶ']
265		['2:5.37:to']	['2:5.37:ἐς']
266		['2:5.37:beloved']	['2:5.37:φίλην']
267		['2:5.37:ancestral']	['2:5.37:πατρίδα']
268		['2:5.37:land']	['2:5.37:γαῖαν']
269		['2:5.38:having', '2:5.38:given']	['2:5.38:δόντες']
270		['2:5.38:bronze']	['2:5.38:χαλκόν']
271		['2:5.38:and']	['2:5.38:τε[2]']
272		['2:5.38:gold']	['2:5.38:χρυσόν']
273		['2:5.38:as', '2:5.38:well', '2:5.38:as[2]']	['2:5.38:τε[3]']
274		['2:5.38:clothing']	['2:5.38:ἐσθῆτά']
275		['2:5.38:in', '2:5.38:heaps']	['2:5.38:ἅλις']
276		['2:5.39:many']	["2:5.39:πόλλ'"]
277		['2:5.39:as', '2:5.39:many[2]', '2:5.39:as[2]']	["2:5.39:ὅσ'"]
278		['2:5.39:Odysseus']	['2:5.39:Ὀδυσσεύς']
279		['2:5.39:would']	['2:5.39:ἂν']
280		['2:5.39:not']	['2:5.39:οὐ']
281	[he would] 	['2:5.39:have', '2:5.39:carried', '2:5.39:out', '2:5.39:for', '2:5.39:himself']	["2:5.39:ἐξήρατ'"]
282		['2:5.39:from', '2:5.39:Troy']	['2:5.39:Τροίης']
283		['2:5.39:ever']	['2:5.39:ποτε']
284		['2:5.40:even']	['2:5.40:περ']
285		['2:5.40:if']	['2:5.40:εἴ']
286	[he] 	['2:5.40:had', '2:5.40:come']	['2:5.40:ἦλθε']
287		['2:5.40:without', '2:5.40:suffering']	['2:5.40:ἀπήμων']
288		['2:5.40:having', '2:5.40:collected']	['2:5.40:λαχὼν']
289		['2:5.40:share']	['2:5.40:αἶσαν']
290		['2:5.40:out', '2:5.40:of']	['2:5.40:ἀπὸ']
291		['2:5.40:war-spoils']	['2:5.40:ληίδος']
292		['2:5.41:For']	['2:5.41:γάρ']
293		['2:5.41:thus']	['2:5.41:ὣς']
294		['2:5.41:is']	['2:5.41:ἐστὶ']
295		['2:5.41:his']	['2:5.41:οἱ']
296		['2:5.41:fate']	["2:5.41:μοῖρ'"]
297		['2:5.41:both']	["2:5.41:τ'"]
298		['2:5.41:to', '2:5.41:see']	['2:5.41:ἰδέειν']
299		['2:5.41:those', '2:5.41:who', '2:5.41:are', '2:5.41:dear']	['2:5.41:φίλους']
300		['2:5.41:and']	['2:5.41:καὶ']
301		['2:5.41:to[2]', '2:5.41:return']	['2:5.41:ἱκέσθαι']
302		['2:5.42:to', '2:5.42:into']	['2:5.42:ἐς']
303		['2:5.42:high-ceilinged']	['2:5.42:ὑψόροφον']
304		['2:5.42:home']	['2:5.42:οἶκον']
305		['2:5.42:and']	['2:5.42:καὶ']
306		['2:5.42:his[2]', '2:5.42:own']	['2:5.42:ἑὴν']
307		['2:5.42:ancestral']	['2:5.42:πατρίδα']
308		['2:5.42:land']	['2:5.42:γαῖαν']
309		['2:5.43:So']	['2:5.43:ὣς']
310	[he] 	['2:5.43:spoke']	["2:5.43:ἔφατ'"]
311		['2:5.43:messenger']	['2:5.43:διάκτορος']
312		['2:5.43:slayer', '2:5.43:of', '2:5.43:Argus']	['2:5.43:ἀργεϊφόντης']
313		['2:5.43:and']	["2:5.43:δ'"]
314	[he] 	['2:5.43:did', '2:5.43:disobey']	['2:5.43:ἀπίθησε']
315		['2:5.43:not']	['2:5.43:οὐ']
316		['2:5.44:At', '2:5.44:once']	["2:5.44:αὐτίκ'"]
317		['2:5.44:then']	["2:5.44:ἔπειθ'"]
318	[he] 	['2:5.44:bound']	['2:5.44:ἐδήσατο']
319		['2:5.44:under']	['2:5.44:ὑπὸ']
320		['2:5.44:feet']	['2:5.44:ποσσὶν']
321		['2:5.44:beautiful']	['2:5.44:καλὰ']
322		['2:5.44:sandals']	['2:5.44:πέδιλα']
323		['2:5.45:the', '2:5.45:kind', '2:5.45:that', '2:5.45:are', '2:5.45:suited', '2:5.45:to', '2:5.45:a', '2:5.45:god']	['2:5.45:ἀμβρόσια']
324		['2:5.45:gold']	['2:5.45:χρύσεια']
325		['2:5.45:those', '2:5.45:which']	['2:5.45:τά']
326	[they] 	['2:5.45:used', '2:5.45:to[2]', '2:5.45:bear']	['2:5.45:φέρον']
327		['2:5.45:him']	['2:5.45:μιν']
328		['2:5.45:over']	["2:5.45:ἐφ'"]
329		['2:5.45:both']	['2:5.45:ἠμὲν']
330		['2:5.45:water']	['2:5.45:ὑγρὴν']
331		['2:5.46:and']	["2:5.46:ἠδ'"]
332		['2:5.46:over']	["2:5.46:ἐπ'"]
333		['2:5.46:boundless']	['2:5.46:ἀπείρονα']
334		['2:5.46:land']	['2:5.46:γαῖαν']
335		['2:5.46:alongside']	['2:5.46:ἅμα']
336		['2:5.46:blasts']	['2:5.46:πνοιῇς']
337		['2:5.46:of', '2:5.46:wind']	['2:5.46:ἀνέμοιο']
338		['2:5.47:And']	['2:5.47:δὲ']
339	[he] 	['2:5.47:took', '2:5.47:hold', '2:5.47:of']	['2:5.47:εἵλετο']
340		['2:5.47:wand']	['2:5.47:ῥάβδον']
341		['2:5.47:with', '2:5.47:which']	['2:5.47:τῇ']
342		['2:5.47:also']	["2:5.47:τ'"]
343	[he] 	['2:5.47:enchants']	['2:5.47:θέλγει']
344		['2:5.47:eyes']	['2:5.47:ὄμματα']
345		['2:5.47:of[2]', '2:5.47:men']	['2:5.47:ἀνδρῶν']
346		['2:5.48:of', '2:5.48:whomever']	['2:5.48:ὧν']
347	[he] 	['2:5.48:wishes']	['2:5.48:ἐθέλει']
348		['2:5.48:and']	["2:5.48:δ'"]
349		['2:5.48:also']	['2:5.48:καὶ']
350	[he] 	['2:5.48:wakes']	['2:5.48:ἐγείρει']
351		['2:5.48:again']	['2:5.48:αὖτε']
352		['2:5.48:those']	['2:5.48:τοὺς']
353		['2:5.48:who', '2:5.48:are', '2:5.48:sleeping']	['2:5.48:ὑπνώοντας']
354		['2:5.49:Holding']	['2:5.49:ἔχων']
355		['2:5.49:this']	['2:5.49:τὴν']
356		['2:5.49:between']	['2:5.49:μετὰ']
357		['2:5.49:hands']	['2:5.49:χερσὶν']
358		['2:5.49:powerful']	['2:5.49:κρατὺς']
359		['2:5.49:slayer', '2:5.49:of', '2:5.49:Argus']	['2:5.49:ἀργεϊφόντης']
360	[he] 	['2:5.49:began', '2:5.49:to', '2:5.49:fly']	['2:5.49:πέτετο']
361		['2:5.50:and']	["2:5.50:δ'"]
362		['2:5.50:having', '2:5.50:mounted']	['2:5.50:ἐπιβὰς']
363		['2:5.50:Pieria']	['2:5.50:Πιερίην']
364		['2:5.50:from']	['2:5.50:ἐξ']
365		['2:5.50:sky']	['2:5.50:αἰθέρος']
366	[he] 	['2:5.50:plunged', '2:5.50:towards']	['2:5.50:ἔμπεσε']
367		['2:5.50:sea']	['2:5.50:πόντῳ']
368		['2:5.51:Then']	["2:5.51:ἔπειτ'"]
369	[he] 	['2:5.51:swept']	["2:5.51:σεύατ'"]
370		['2:5.51:over']	['2:5.51:ἐπὶ']
371		['2:5.51:wave']	['2:5.51:κῦμα']
372		['2:5.51:like']	['2:5.51:ἐοικώς']
373		['2:5.51:skimmer']	['2:5.51:λάρῳ']
374		['2:5.51:bird']	['2:5.51:ὄρνιθι']
375		['2:5.52:which']	['2:5.52:ὅς']
376		['2:5.52:down', '2:5.52:along']	['2:5.52:κατὰ']
377		['2:5.52:terrible']	['2:5.52:δεινοὺς']
378		['2:5.52:swells']	['2:5.52:κόλπους']
379		['2:5.52:barren']	['2:5.52:ἀτρυγέτοιο']
380		['2:5.52:sea']	['2:5.52:ἁλὸς']
381		['2:5.53:hunting']	['2:5.53:ἀγρώσσων']
382		['2:5.53:fish']	['2:5.53:ἰχθῦς']
383	[it] 	['2:5.53:wets']	['2:5.53:δεύεται']
384		['2:5.53:dense']	['2:5.53:πυκινὰ']
385		['2:5.53:wings']	['2:5.53:πτερὰ']
386		['2:5.53:salt-sea']	['2:5.53:ἅλμῃ']
387		['2:5.54:like']	['2:5.54:ἴκελος']
388		['2:5.54:this']	['2:5.54:τῷ']
389		['2:5.54:Hermes']	['2:5.54:Ἑρμῆς']
390	[he] 	['2:5.54:rode', '2:5.54:upon']	['2:5.54:ὀχήσατο']
391		['2:5.54:many']	['2:5.54:πολέεσσιν']
392		['2:5.54:waves']	['2:5.54:κύμασιν']
393		['2:5.55:But']	["2:5.55:ἀλλ'"]
394		['2:5.55:when']	['2:5.55:ὅτε']
395		['2:5.55:at', '2:5.55:last']	['2:5.55:δὴ']
396	[he] 	['2:5.55:arrived', '2:5.55:at[2]']	['2:5.55:ἀφίκετο']
397		['2:5.55:the']	['2:5.55:τὴν']
398		['2:5.55:island']	['2:5.55:νῆσον']
399		['2:5.55:that', '2:5.55:was']	['2:5.55:ἐοῦσαν']
400		['2:5.55:far', '2:5.55:away']	["2:5.55:τηλόθ'"]
401		['2:5.56:there']	["2:5.56:ἔνθ'"]
402		['2:5.56:after', '2:5.56:stepping']	['2:5.56:βὰς']
403		['2:5.56:out', '2:5.56:of']	['2:5.56:ἐκ']
404		['2:5.56:deep-blue']	['2:5.56:ἰοειδέος']
405		['2:5.56:sea']	['2:5.56:πόντου']
406		['2:5.56:towards', '2:5.56:the[2]', '2:5.56:mainland']	['2:5.56:ἤπειρόνδε']
407	[he] 	['2:5.57:made', '2:5.57:his', '2:5.57:way']	['2:5.57:ἤιεν']
408		['2:5.57:until']	['2:5.57:ὄφρα']
409	[he] 	['2:5.57:came', '2:5.57:upon']	['2:5.57:ἵκετο']
410		['2:5.57:great']	['2:5.57:μέγα']
411		['2:5.57:cave']	['2:5.57:σπέος']
412		['2:5.57:in']	['2:5.57:ἔνι']
413		['2:5.57:which']	['2:5.57:τῷ']
414		['2:5.57:beautiful-haired']	['2:5.58:ἐυπλόκαμος']
415		['2:5.57:nymph']	['2:5.57:νύμφη']
416	[she] 	['2:5.58:was', '2:5.58:living']	['2:5.58:ναῖεν']
417		['2:5.58:and']	["2:5.58:δ'"]
418	[he] 	['2:5.58:found']	['2:5.58:τέτμεν']
419		['2:5.58:her']	['2:5.58:τὴν']
420		['2:5.58:being']	['2:5.58:ἐοῦσαν']
421		['2:5.58:within']	['2:5.58:ἔνδοθι']
422		['2:5.59:On', '2:5.59:one', '2:5.59:side']	['2:5.59:μὲν']
423		['2:5.59:great']	['2:5.59:μέγα']
424		['2:5.59:fire']	['2:5.59:πῦρ']
425	[it] 	['2:5.59:was', '2:5.59:burning']	['2:5.59:καίετο']
