index	prefix	engaligns	greekaligns
29	[it] 	['1:1.5:began', '1:1.5:to', '1:1.5:be', '1:1.5:fulfilled']	['1:1.5:ἐτελείετο']
30		['1:1.6:from']	['1:1.6:ἐξ']
31		['1:1.6:point', '1:1.6:where', '1:1.6:where']	['1:1.6:οὗ', '1:1.6:δὴ']
32		['1:1.6:first']	['1:1.6:τὰ', '1:1.6:πρῶτα']
33		['1:1.6:the[2]', '1:1.6:two', '1:1.6:having', '1:1.6:both', '1:1.6:begun', '1:1.6:a', '1:1.6:competition', '1:1.6:with', '1:1.6:each', '1:1.6:other']	['1:1.6:ἐρίσαντε']
34	[he-dual] 	['1:1.6:both[2]', '1:1.6:of', '1:1.6:them', '1:1.6:faced', '1:1.6:off']	['1:1.6:διαστήτην']
35		['1:1.7:son', '1:1.7:of', '1:1.7:Atreus']	['1:1.7:Ἀτρεΐδης']
36		['1:1.7:lord']	['1:1.7:ἄναξ']
37		['1:1.7:of[2]', '1:1.7:men']	['1:1.7:ἀνδρῶν']
38		['1:1.7:and']	['1:1.7:καὶ']
39		['1:1.7:god-like']	['1:1.7:δῖος']
40		['1:1.7:Achilles']	['1:1.7:Ἀχιλλεύς']
41		['1:1.8:Who']	['1:1.8:τίς', "1:1.8:τ'"]
42		['1:1.8:then']	['1:1.8:ἄρ']
43		['1:1.8:of', '1:1.8:gods']	['1:1.8:θεῶν']
44	[he] 	['1:1.8:threw', '1:1.8:together']	['1:1.8:ξυνέηκε']
45		['1:1.8:two', '1:1.8:of[2]', '1:1.8:them']	['1:1.8:σφωε']
46		['1:1.8:to', '1:1.8:fight']	['1:1.8:μάχεσθαι']
47		['1:1.8:in', '1:1.8:competition']	['1:1.8:ἔριδι']
48		['1:1.9:son']	['1:1.9:υἱός']
49		['1:1.9:of', '1:1.9:Leto']	['1:1.9:Λητοῦς']
50		['1:1.9:and']	['1:1.9:καὶ']
51		['1:1.9:of[2]', '1:1.9:Zeus']	['1:1.9:Διὸς']
52		['1:1.9:for']	['1:1.9:γὰρ']
53		['1:1.9:that', '1:1.9:one']	['1:1.9:ὃ']
54		['1:1.9:filled', '1:1.9:with', '1:1.9:anger']	['1:1.9:χολωθεὶς']
55		['1:1.9:at', '1:1.9:king']	['1:1.9:βασιλῆϊ']
56	[he] 	['1:1.10:set', '1:1.10:in', '1:1.10:motion']	['1:1.10:ὄρσε']
57		['1:1.10:evil']	['1:1.10:κακήν']
58		['1:1.10:sickness']	['1:1.10:νοῦσον']
59		['1:1.10:up', '1:1.10:through']	['1:1.10:ἀνὰ']
60		['1:1.10:camp']	['1:1.10:στρατὸν']
61		['1:1.10:And']	['1:1.10:δὲ']
62		['1:1.10:soldiers']	['1:1.10:λαοί']
63	[they] 	['1:1.10:began', '1:1.10:to', '1:1.10:be', '1:1.10:killed']	['1:1.10:ὀλέκοντο']
64		['1:1.11:because']	['1:1.11:οὕνεκα']
65	[he] 	['1:1.11:showed', '1:1.11:disrespect', '1:1.11:to']	['1:1.11:ἠτίμασεν']
66		['1:1.11:that', '1:1.11:man']	['1:1.11:τὸν']
67		['1:1.11:Chryses']	['1:1.11:Χρύσην']
68		['1:1.11:god-talker']	['1:1.11:ἀρητῆρα']
69		['1:1.12:son', '1:1.12:of', '1:1.12:Atreus']	['1:1.12:Ἀτρεΐδης']
70		['1:1.12:a', '1:1.12:man[2]']	['1:1.12:ὃ']
71	[he] 	['1:1.12:came']	['1:1.12:ἦλθε']
72		['1:1.12:to']	['1:1.12:ἐπὶ']
73		['1:1.12:swift']	['1:1.12:θοὰς']
74		['1:1.12:ships']	['1:1.12:νῆας']
75		['1:1.12:of[2]', '1:1.12:Achaeans']	['1:1.12:Ἀχαιῶν']
76		['1:1.13:in', '1:1.13:order', '1:1.13:to', '1:1.13:free', '1:1.13:order', '1:1.13:to', '1:1.13:free']	['1:1.13:λυσόμενός', '1:1.13:τε']
77		['1:1.13:daughter']	['1:1.13:θύγατρα']
78		['1:1.13:and']	["1:1.13:τ'"]
79		['1:1.13:bearing']	['1:1.13:φέρων']
80		['1:1.13:boundless']	["1:1.13:ἀπερείσι'"]
81		['1:1.13:ransom']	['1:1.13:ἄποινα']
82		['1:1.14:holding']	['1:1.14:ἔχων']
83		['1:1.14:wreaths']	["1:1.14:στέμματ'"]
84		['1:1.14:of', '1:1.14:Apollo']	['1:1.14:Ἀπόλλωνος']
85	[of] 	['1:1.14:far-shooter']	['1:1.14:ἑκηβόλου']
86		['1:1.14:in']	['1:1.14:ἐν']
87		['1:1.14:hands']	['1:1.14:χερσὶν']
88		['1:1.15:high', '1:1.15:up', '1:1.15:on']	['1:1.15:ἀνὰ']
89		['1:1.15:golden']	['1:1.15:χρυσέῳ']
90		['1:1.15:staff']	['1:1.15:σκήπτρῳ']
91		['1:1.15:And']	['1:1.15:καὶ']
92	[he] 	['1:1.15:began', '1:1.15:to', '1:1.15:plead', '1:1.15:with']	['1:1.15:λίσσετο']
93		['1:1.15:all']	['1:1.15:πάντας']
94		['1:1.15:Achaeans']	['1:1.15:Ἀχαιούς']
95		['1:1.16:and']	['1:1.16:δὲ']
96		['1:1.16:especially']	['1:1.16:μάλιστα']
97		['1:1.16:two']	['1:1.16:δύω']
98		['1:1.16:sons', '1:1.16:of', '1:1.16:Atreus']	['1:1.16:Ἀτρεΐδα']
99		['1:1.16:the[2]', '1:1.16:organizers']	['1:1.16:κοσμήτορε']
100		['1:1.16:of[2]', '1:1.16:soldiers']	['1:1.16:λαῶν']
101		['1:1.17:Sons', '1:1.17:of', '1:1.17:Atreus']	['1:1.17:Ἀτρεΐδαι']
102		['1:1.17:and']	['1:1.17:τε']
103		['1:1.17:also']	['1:1.17:καὶ']
104		['1:1.17:all']	['1:1.17:ἄλλοι']
105		['1:1.17:well-greaved']	['1:1.17:ἐϋκνήμιδες']
106		['1:1.17:Achaeans']	['1:1.17:Ἀχαιοί']
107		['1:1.18:with', '1:1.18:my', '1:1.18:blessing']	['1:1.18:μὲν']
108	[they] 	['1:1.18:may', '1:1.18:give', '1:1.18:as', '1:1.18:a', '1:1.18:gift', '1:1.18:to']	['1:1.18:δοῖεν']
109		['1:1.18:gods']	['1:1.18:θεοὶ']
110		['1:1.18:having']	['1:1.18:ἔχοντες']
111		['1:1.18:homes']	["1:1.18:δώματ'"]
112		['1:1.18:on', '1:1.18:Olympus']	['1:1.18:Ὀλύμπια']
113		['1:1.18:you']	['1:1.18:ὑμῖν']
114		['1:1.19:to', '1:1.19:sack', '1:1.19:utterly']	['1:1.19:ἐκπέρσαι']
115		['1:1.19:city']	['1:1.19:πόλιν']
116		['1:1.19:of', '1:1.19:Priam']	['1:1.19:Πριάμοιο']
117		['1:1.19:and']	["1:1.19:δ'"]
118		['1:1.19:to[2]', '1:1.19:return']	['1:1.19:ἱκέσθαι']
119		['1:1.19:homewards']	["1:1.19:οἴκαδ'"]
120		['1:1.19:well']	['1:1.19:εὖ']
121		['1:1.20:but', '1:1.20:and']	["1:1.20:δ'"]
122		['1:1.20:for', '1:1.20:me']	['1:1.20:ἐμοὶ']
123	[you-pl] 	['1:1.20:free']	['1:1.20:λύσαιτε']
124		['1:1.20:beloved']	['1:1.20:φίλην']
125		['1:1.20:child']	['1:1.20:παῖδα']
126		['1:1.20:accept']	['1:1.20:δέχεσθαι']
127		['1:1.20:this']	['1:1.20:τὰ']
128		['1:1.20:ransom']	['1:1.20:ἄποινα']
129		['1:1.21:showing', '1:1.21:reverence', '1:1.21:for']	['1:1.21:ἁζόμενοι']
130		['1:1.21:son']	['1:1.21:υἱὸν']
131		['1:1.21:of', '1:1.21:Zeus']	['1:1.21:Διὸς']
132		['1:1.21:far-shooter']	['1:1.21:ἑκηβόλον']
133		['1:1.21:Apollo']	['1:1.21:Ἀπόλλωνα']
134		['1:1.22:At', '1:1.22:that', '1:1.22:point']	["1:1.22:ἔνθ'"]
135		['1:1.22:indeed']	['1:1.22:μὲν']
136		['1:1.22:all']	['1:1.22:πάντες']
137		['1:1.22:Achaeans']	['1:1.22:Ἀχαιοὶ']
138	[they] 	['1:1.22:shouted', '1:1.22:their', '1:1.22:approval']	['1:1.22:ἐπευφήμησαν']
139		['1:1.23:both']	["1:1.23:θ'"]
140		['1:1.23:to', '1:1.23:treat', '1:1.23:with', '1:1.23:decency']	['1:1.23:αἰδεῖσθαί']
141		['1:1.23:sacrifice-leader']	['1:1.23:ἱερῆα']
142		['1:1.23:and']	['1:1.23:καὶ']
143		['1:1.23:to[2]', '1:1.23:accept']	['1:1.23:δέχθαι']
144		['1:1.23:shining']	['1:1.23:ἀγλαὰ']
145		['1:1.23:ransom']	['1:1.23:ἄποινα']
146		['1:1.24:However']	["1:1.24:ἀλλ'"]
147	[it] 	['1:1.24:was', '1:1.24:sweet']	['1:1.24:ἥνδανε']
148		['1:1.24:not']	['1:1.24:οὐκ']
149		['1:1.24:to', "1:1.24:Atreus'", '1:1.24:son']	['1:1.24:Ἀτρεΐδῃ']
150	[to] 	['1:1.24:Agamemnon']	['1:1.24:Ἀγαμέμνονι']
151		['1:1.24:in', '1:1.24:heart']	['1:1.24:θυμῷ']
152		['1:1.25:Instead']	['1:1.25:ἀλλὰ']
153	[he] 	['1:1.25:dismissed']	['1:1.25:ἀφίει']
154		['1:1.25:cruelly']	['1:1.25:κακῶς']
155	[he] 	['1:1.25:began', '1:1.25:to', '1:1.25:impose', '1:1.25:to', '1:1.25:impose']	['1:1.25:ἔτελλε', '1:1.25:ἐπὶ']
156		['1:1.25:harsh']	['1:1.25:κρατερὸν']
157		['1:1.25:command']	['1:1.25:μῦθον']
158	[I] 	['1:1.26:May', '1:1.26:come', '1:1.26:upon']	['1:1.26:κιχείω']
159		['1:1.26:I”)', '1:1.26:I']	['1:1.26:ἐγὼ']
160		['1:1.26:not']	['1:1.26:μή']
161		['1:1.26:you']	['1:1.26:σε']
162		['1:1.26:old', '1:1.26:man']	['1:1.26:γέρον']
163		['1:1.26:near']	['1:1.26:παρὰ']
164		['1:1.26:hollow']	['1:1.26:κοίλῃσιν']
165		['1:1.26:ships']	['1:1.26:νηυσὶ']
166		['1:1.27:either', '1:1.27:or']	['1:1.27:ἢ']
167		['1:1.27:hanging', '1:1.27:around']	["1:1.27:δηθύνοντ'"]
168		['1:1.27:now']	['1:1.27:νῦν']
169		['1:1.27:coming']	['1:1.27:ἰόντα']
170		['1:1.27:back']	['1:1.27:αὖτις']
171		['1:1.27:later']	['1:1.27:ὕστερον']
172		['1:1.28:lest']	['1:1.28:μή']
173		['1:1.28:at', '1:1.28:that', '1:1.28:time']	['1:1.28:νύ']
174		['1:1.28:staff']	['1:1.28:σκῆπτρον']
175		['1:1.28:and']	['1:1.28:καὶ']
176		['1:1.28:wreaths']	['1:1.28:στέμμα']
177		['1:1.28:of', '1:1.28:god']	['1:1.28:θεοῖο']
178	[it] 	['1:1.28:may', '1:1.28:protect']	['1:1.28:χραίσμῃ']
179		['1:1.28:not']	['1:1.28:οὐ']
180		['1:1.28:you']	['1:1.28:τοι']
181		['1:1.29:that', '1:1.29:woman', '1:1.29:woman']	['1:1.29:τὴν', "1:1.29:δ'"]
182		['1:1.29:I”)', '1:1.29:I']	['1:1.29:ἐγὼ']
183		['1:1.29:will', '1:1.29:not']	['1:1.29:οὐ']
184	[I] 	['1:1.29:free']	['1:1.29:λύσω']
185		['1:1.29:until']	['1:1.29:πρίν']
186		['1:1.29:(Agamemnon', '1:1.29:emphasizes', '1:1.29:the[2]', '1:1.29:next', '1:1.29:two', '1:1.29:English', '1:1.29:words', '1:1.29:as', '1:1.29:a', '1:1.29:taunt)']	['1:1.29:καὶ']
187		['1:1.29:old', '1:1.29:age']	['1:1.29:γῆρας']
188		['1:1.29:comes', '1:1.29:upon']	['1:1.29:ἔπεισιν']
189		['1:1.29:her']	['1:1.29:μιν']
190		['1:1.30:in']	['1:1.30:ἐνὶ']
191		['1:1.30:our']	['1:1.30:ἡμετέρῳ']
192		['1:1.30:house']	['1:1.30:οἴκῳ']
193		['1:1.30:in[2]']	['1:1.30:ἐν']
194		['1:1.30:Argos']	['1:1.30:Ἄργεϊ']
195		['1:1.30:far', '1:1.30:from']	['1:1.30:τηλόθι']
196		['1:1.30:fatherland']	['1:1.30:πάτρης']
197		['1:1.31:working']	['1:1.31:ἐποιχομένην']
198		['1:1.31:loom']	['1:1.31:ἱστὸν']
199		['1:1.31:and']	['1:1.31:καὶ']
200		['1:1.31:serving']	['1:1.31:ἀντιόωσαν']
201		['1:1.31:my']	['1:1.31:ἐμὸν']
202		['1:1.31:bed']	['1:1.31:λέχος']
203		['1:1.32:Instead']	["1:1.32:ἀλλ'"]
204		['1:1.32:go', '1:1.32:away']	['1:1.32:ἴθι']
205		['1:1.32:Do', '1:1.32:not']	['1:1.32:μή']
206	[you-sg-present-imperative] 	['1:1.32:keep', '1:1.32:provoking', '1:1.32:me']	['1:1.32:ἐρέθιζε']
207		['1:1.32:me[2]']	["1:1.32:μ'"]
208		['1:1.32:thus']	['1:1.32:ὥς']
209		['1:1.32:so', '1:1.32:that']	['1:1.32:κε']
210	[you-sg-present-subjunctive] 	['1:1.32:might', '1:1.32:make', '1:1.32:your', '1:1.32:way', '1:1.32:home']	['1:1.32:νέηαι']
211		['1:1.32:more', '1:1.32:safely']	['1:1.32:σαώτερος']
212		['1:1.33:So']	['1:1.33:ὣς']
213	[he] 	['1:1.33:spoke']	["1:1.33:ἔφατ'"]
214		['1:1.33:That']	['1:1.33:ὃ']
215		['1:1.33:old', '1:1.33:man']	['1:1.33:γέρων']
216		['1:1.33:became', '1:1.33:frightened']	['1:1.33:ἔδεισεν']
217		['1:1.33:And']	['1:1.33:καὶ']
218	[he] 	['1:1.33:began', '1:1.33:to', '1:1.33:obey']	['1:1.33:ἐπείθετο']
219		['1:1.33:command']	['1:1.33:μύθῳ']
220	[he] 	['1:1.34:walked']	['1:1.34:βῆ', "1:1.34:δ'"]
221		['1:1.34:in', '1:1.34:silence']	['1:1.34:ἀκέων']
222		['1:1.34:to']	['1:1.34:παρὰ']
223		['1:1.34:shore']	['1:1.34:θῖνα']
224		['1:1.34:of', '1:1.34:sea']	['1:1.34:θαλάσσης']
225		['1:1.34:loudly-roaring']	['1:1.34:πολυφλοίσβοιο']
226		['1:1.35:And']	["1:1.35:δ'"]
227		['1:1.35:then']	["1:1.35:ἔπειτ'"]
228		['1:1.35:going']	['1:1.35:κιὼν']
229		['1:1.35:far', '1:1.35:away']	['1:1.35:ἀπάνευθε']
230		['1:1.35:that']	['1:1.35:ὃ']
231		['1:1.35:old', '1:1.35:man']	['1:1.35:γεραιὸς']
232	[he] 	['1:1.35:as', '1:1.35:god-talker', '1:1.35:began', '1:1.35:speaking', '1:1.35:to']	["1:1.35:ἠρᾶθ'"]
233		['1:1.36:lord']	['1:1.36:ἄνακτι']
234		['1:1.36:Apollo']	['1:1.36:Ἀπόλλωνι']
235		['1:1.36:whom']	['1:1.36:τὸν']
236		['1:1.36:light-haired']	['1:1.36:ἠΰκομος']
237		['1:1.36:Leto']	['1:1.36:Λητώ']
238	[she] 	['1:1.36:bore']	['1:1.36:τέκε']
239	[you-sg] 	['1:1.37:Hear']	['1:1.37:κλῦθί']
240		['1:1.37:me']	['1:1.37:μευ']
241		['1:1.37:silver-bowed', '1:1.37:one']	["1:1.37:ἀργυρότοξ'"]
242		['1:1.37:who']	['1:1.37:ὃς']
243	[you-sg] 	['1:1.37:have', '1:1.37:taken', '1:1.37:under', '1:1.37:your', '1:1.37:protection']	['1:1.37:ἀμφιβέβηκας']
244		['1:1.37:Chrysa']	['1:1.37:Χρύσην']
245		['1:1.38:and']	['1:1.38:τε']
246		['1:1.38:sacred']	['1:1.38:ζαθέην']
247		['1:1.38:Cilla']	['1:1.38:Κίλλάν']
248		['1:1.38:and[2]']	['1:1.38:τε[2]']
249	[you-sg] 	['1:1.38:are', '1:1.38:lord', '1:1.38:of']	['1:1.38:ἀνάσσεις']
250		['1:1.38:Tenedos']	['1:1.38:Τενέδοιό']
251		['1:1.38:by', '1:1.38:force']	['1:1.38:ἶφι']
252		['1:1.39:Smintheus']	['1:1.39:Σμινθεῦ']
253		['1:1.39:if']	['1:1.39:εἴ']
254		['1:1.39:at', '1:1.39:any', '1:1.39:time']	['1:1.39:ποτέ']
255	[I] 	['1:1.39:roofed']	['1:1.39:ἔρεψα']
256		['1:1.39:over']	['1:1.39:ἐπὶ']
257		['1:1.39:shrine']	['1:1.39:νηὸν']
258		['1:1.39:pleasing']	["1:1.39:χαρίεντ'"]
259		['1:1.39:to', '1:1.39:you']	['1:1.39:τοι']
260		['1:1.40:or']	['1:1.40:ἢ']
261		['1:1.40:if']	['1:1.40:εἰ']
262		['1:1.40:indeed']	['1:1.40:δή']
263		['1:1.40:at', '1:1.40:any', '1:1.40:time']	['1:1.40:ποτέ']
264		['1:1.40:completely']	['1:1.40:κατὰ']
265	[I] 	['1:1.40:burned']	['1:1.40:ἔκηα']
266		['1:1.40:fat']	['1:1.40:πίονα']
267		['1:1.40:thigh-bones']	["1:1.40:μηρί'"]
268		['1:1.40:for', '1:1.40:you']	['1:1.40:τοι']
269		['1:1.41:of', '1:1.41:bulls']	['1:1.41:ταύρων']
270		['1:1.41:and']	["1:1.41:ἠδ'"]
271		['1:1.41:of[2]', '1:1.41:goats']	['1:1.41:αἰγῶν']
272	[(2nd sg imperative)you-sg] 	['1:1.41:fulfill']	['1:1.41:κρήηνον']
273		['1:1.41:this']	['1:1.41:τὸ', '1:1.41:δέ']
274		['1:1.41:wish']	['1:1.41:ἐέλδωρ']
275		['1:1.41:for', '1:1.41:me']	['1:1.41:μοι']
276		['1:1.42:may', '1:1.42:pay', '1:1.42:their', '1:1.42:respects', '1:1.42:to']	['1:1.42:τίσειαν']
277		['1:1.42:Danaans']	['1:1.42:Δαναοὶ']
278		['1:1.42:my']	['1:1.42:ἐμὰ']
279		['1:1.42:tears']	['1:1.42:δάκρυα']
280		['1:1.42:with', '1:1.42:your']	['1:1.42:σοῖσι']
281	[with] 	['1:1.42:arrows']	['1:1.42:βέλεσσιν']
282		['1:1.43:So']	['1:1.43:ὣς']
283	[he] 	['1:1.43:spoke']	["1:1.43:ἔφατ'"]
284		['1:1.43:praying']	['1:1.43:εὐχόμενος']
285		['1:1.43:Phoebus']	['1:1.43:Φοῖβος']
286		['1:1.43:Apollo']	['1:1.43:Ἀπόλλων']
287	[he] 	['1:1.43:listened', '1:1.43:to']	['1:1.43:ἔκλυε']
288		['1:1.43:that', '1:1.43:man', '1:1.43:man']	['1:1.43:τοῦ', "1:1.43:δ'"]
289		['1:1.44:Seething', '1:1.44:with', '1:1.44:anger']	['1:1.44:χωόμενος']
290		['1:1.44:heart']	['1:1.44:κῆρ']
291	[he] 	['1:1.44:came']	['1:1.44:βῆ', '1:1.44:δὲ']
292		['1:1.44:down']	["1:1.44:κατ'"]
293		['1:1.44:from', '1:1.44:top']	['1:1.44:καρήνων']
294		['1:1.44:of', '1:1.44:Olympus']	['1:1.44:Οὐλύμποιο']
295		['1:1.45:carrying']	['1:1.45:ἔχων']
296		['1:1.45:bow']	["1:1.45:τόξ'"]
297		['1:1.45:and']	['1:1.45:τε']
298		['1:1.45:covered']	['1:1.45:ἀμφηρεφέα']
299		['1:1.45:quiver']	['1:1.45:φαρέτρην']
300		['1:1.45:on', '1:1.45:shoulders']	['1:1.45:ὤμοισιν']
301		['1:1.46:arrows']	['1:1.46:ὀϊστοὶ']
302	[they] 	['1:1.46:rattled', '1:1.46:noisily', '1:1.46:noisily', '1:1.46:noisily']	['1:1.46:ἔκλαγξαν', "1:1.46:δ'", "1:1.46:ἄρ'"]
303		['1:1.46:on']	["1:1.46:ἐπ'"]
304		['1:1.46:shoulders']	['1:1.46:ὤμων']
305		['1:1.46:as', '1:1.46:he', '1:1.46:seethed', '1:1.46:with', '1:1.46:anger']	['1:1.46:χωομένοιο']
306		['1:1.47:once', '1:1.47:began', '1:1.47:to', '1:1.47:move']	['1:1.47:κινηθέντος']
307		['1:1.47:he', '1:1.47:himself']	['1:1.47:αὐτοῦ']
308		['1:1.47:That', '1:1.47:one', '1:1.47:one']	['1:1.47:ὃ', "1:1.47:δ'"]
309	[he] 	['1:1.47:made', '1:1.47:his', '1:1.47:way']	['1:1.47:ἤϊε']
310		['1:1.47:like']	['1:1.47:ἐοικώς']
311		['1:1.47:night']	['1:1.47:νυκτὶ']
312		['1:1.48:Then']	["1:1.48:ἔπειτ'"]
313	[he] 	['1:1.48:began', '1:1.48:to', '1:1.48:crouch']	["1:1.48:ἕζετ'"]
314		['1:1.48:far', '1:1.48:away']	['1:1.48:ἀπάνευθε']
315		['1:1.48:from', '1:1.48:ships']	['1:1.48:νεῶν']
316	[he] 	['1:1.48:fired']	['1:1.48:ἕηκε']
317		['1:1.48:arrow']	['1:1.48:ἰὸν']
318		['1:1.48:in', '1:1.48:midst']	['1:1.48:μετὰ']
319		['1:1.49:Fearsome']	['1:1.49:δεινὴ']
320	[it] 	['1:1.49:was']	["1:1.49:γένετ'"]
321		['1:1.49:rattle']	['1:1.49:κλαγγὴ']
322		['1:1.49:from', '1:1.49:bow']	['1:1.49:βιοῖο']
323		['1:1.49:silver']	['1:1.49:ἀργυρέοιο']
324		['1:1.50:First']	['1:1.50:πρῶτον']
325	[he] 	['1:1.50:began', '1:1.50:to', '1:1.50:go', '1:1.50:after']	['1:1.50:ἐπῴχετο']
326		['1:1.50:mules']	['1:1.50:οὐρῆας']
327		['1:1.50:and']	['1:1.50:καὶ']
328		['1:1.50:swift']	['1:1.50:ἀργούς']
329		['1:1.50:dogs']	['1:1.50:κύνας']
330		['1:1.51:but']	['1:1.51:αὐτὰρ']
331		['1:1.51:then']	["1:1.51:ἔπειτ'"]
332	[he] 	['1:1.51:letting', '1:1.51:fly']	['1:1.51:ἐφιεὶς']
333		['1:1.51:sharp']	['1:1.51:ἐχεπευκὲς']
334		['1:1.51:arrow']	['1:1.51:βέλος']
335		['1:1.51:the', '1:1.51:men', '1:1.51:themselves']	['1:1.51:αὐτοῖσι']
336	[he] 	['1:1.52:began', '1:1.52:to', '1:1.52:strike']	["1:1.52:βάλλ'"]
337		['1:1.52:pyres']	['1:1.52:πυραὶ']
338		['1:1.52:of', '1:1.52:corpses']	['1:1.52:νεκύων']
339		['1:1.52:one', '1:1.52:after', '1:1.52:another']	['1:1.52:θαμειαί']
340	[they] 	['1:1.52:were', '1:1.52:kept', '1:1.52:burning']	['1:1.52:καίοντο']
341		['1:1.52:without', '1:1.52:any', '1:1.52:break']	['1:1.52:αἰεὶ']
342		['1:1.53:For', '1:1.53:nine', '1:1.53:days']	['1:1.53:ἐννῆμαρ']
343		['1:1.53:to', '1:1.53:start', '1:1.53:with']	['1:1.53:μὲν']
344		['1:1.53:arrows']	['1:1.53:κῆλα']
345		['1:1.53:of', '1:1.53:god']	['1:1.53:θεοῖο']
346	[they] 	['1:1.53:kept', '1:1.53:moving']	['1:1.53:ᾤχετο']
347		['1:1.53:up', '1:1.53:through']	['1:1.53:ἀνὰ']
348		['1:1.53:camp']	['1:1.53:στρατὸν']
349		['1:1.54:On', '1:1.54:that']	['1:1.54:τῇ']
350		['1:1.54:tenth']	['1:1.54:δεκάτῃ']
351		['1:1.54:however']	["1:1.54:δ'"]
352		['1:1.54:Achilles']	['1:1.54:Ἀχιλλεύς']
353	[he] 	['1:1.54:summoned']	['1:1.54:καλέσσατο']
354		['1:1.54:soldiers']	['1:1.54:λαὸν']
355		['1:1.54:to']	['1:1.54:δὲ']
356		['1:1.54:assembly']	['1:1.54:ἀγορὴν']
357		['1:1.55:white-armed']	['1:1.55:λευκώλενος']
358		['1:1.55:goddess']	['1:1.55:θεὰ']
359		['1:1.55:Hera']	['1:1.55:Ἥρη']
360		['1:1.55:as', '1:1.55:it', '1:1.55:happened']	['1:1.55:γὰρ']
361	[she] 	['1:1.55:placed']	['1:1.55:θῆκε']
362		['1:1.55:within']	['1:1.55:ἐπὶ']
363		['1:1.55:that', "1:1.55:man's"]	['1:1.55:τῷ']
364		['1:1.55:mind']	['1:1.55:φρεσὶ']
365		['1:1.56:This', '1:1.56:was', '1:1.56:the', '1:1.56:reason']	['1:1.56:γὰρ']
366	[she] 	['1:1.56:kept', '1:1.56:worrying', '1:1.56:about']	['1:1.56:κήδετο']
367		['1:1.56:Danaans']	['1:1.56:Δαναῶν']
368		['1:1.56:because']	['1:1.56:ὅτι', '1:1.56:ῥα']
369	[she] 	['1:1.56:kept[2]', '1:1.56:watching']	['1:1.56:ὁρᾶτο']
370		['1:1.56:them', '1:1.56:as', '1:1.56:they', '1:1.56:died']	['1:1.56:θνήσκοντας']
371		['1:1.57:After']	['1:1.57:ἐπεὶ']
372		['1:1.57:those', '1:1.57:men', '1:1.57:men']	['1:1.57:οἳ', "1:1.57:δ'"]
373	[they] 	['1:1.57:became']	['1:1.57:γένοντο']
374		['1:1.57:gathered', '1:1.57:together']	['1:1.57:ὁμηγερέες']
375		['1:1.57:and']	['1:1.57:τε']
376		['1:1.57:so']	['1:1.57:οὖν']
377	[they] 	['1:1.57:were', '1:1.57:assembled']	['1:1.57:ἤγερθεν']
378		['1:1.58:swift-footed']	['1:1.58:πόδας', '1:1.58:ὠκὺς']
379		['1:1.58:Achilles']	['1:1.58:Ἀχιλλεύς']
380		['1:1.58:standing', '1:1.58:up']	['1:1.58:ἀνιστάμενος']
381	[he] 	['1:1.58:spoke', '1:1.58:among']	['1:1.58:μετέφη']
382		['1:1.58:them']	['1:1.58:τοῖσι', "1:1.58:δ'"]
383		['1:1.59:Son', '1:1.59:of', '1:1.59:Atreus']	['1:1.59:Ἀτρεΐδη']
384		['1:1.59:now']	['1:1.59:νῦν']
385	[I] 	['1:1.59:believe']	['1:1.59:ὀΐω']
